IRBT,"Irobot Corp.",NASDAQ,True,32.27,310
BXMT,"Blackstone Mortgage Trust Inc. Cl A",NYSE,False,25.30,448
AGO,"Assured Guaranty Ltd",NYSE,True,21.26,433
CTS,"Cts Corp.",NYSE,True,14.00,836
TGB,"Taseko Mines Limited",AMEX,True,2.22,133
HF,"Hff Inc.",NYSE,True,21.78,448
JBT,"John Bean Technologies Corp.",NYSE,True,21.77,622
MIDD,"The Middleby Corp.",NASDAQ,True,191.37,622
GSM,"Globe Specialty Metals Inc.",NASDAQ,False,12.75,133
HTLF,"Heartland Financial USA",NASDAQ,True,26.50,415
TSM,"Taiwan Semiconductor Manufacturing",NYSE,True,16.00,833
TBAC,"Tandy Brands Accessories",NASDAQ,True,0.63,321
MRC,"Mrc Global Inc.",NYSE,False,25.13,624
LVNTA,"Liberty Interactive Corporation",NASDAQ,False,83.07,723
GFY,"Western Asset Variable Rate Strategic",NYSE,False,16.78,425
IKNX,"Ikonics Corp.",NASDAQ,False,18.05,113
BGS,"B&G Foods Holdings",NYSE,True,34.09,342
CGEN,"Compugen Ltd",NASDAQ,True,8.45,515
FFIV,"F5 Networks",NASDAQ,True,89.23,821
TILE,"Interface",NASDAQ,True,18.01,628
WTM,"White Mountains Insurance Group",NYSE,True,566.26,432
SWFT,"Swift Transportation Company",NYSE,False,17.50,774
DLTR,"Dollar Tree",NASDAQ,True,51.28,732
NSC,"Norfolk Souther Corp.",NYSE,True,73.55,776
WRLD,"World Acceptance Corp.",NASDAQ,True,85.79,424
MQT,"Blackrock Muniyield Quality Fund II",NYSE,True,11.41,425
GHM,"Graham Corp.",AMEX,True,33.05,626
JE,"Just Energy Group Inc",NYSE,True,6.23,913
HEI,"Heico Corp.",NYSE,True,58.26,611
GILD,"Gilead Sciences",NASDAQ,True,56.89,515
ICGE,"Internet Capital Group",NASDAQ,True,12.35,422
CIB,"Bancolombia S.A.",NYSE,True,58.88,418
LOAN,"Manhattan Bridge Capital Inc",NASDAQ,False,1.70,424
WLK,"Westlake Chemical Corp.",NYSE,True,101.51,113
HLIT,"Harmonic Inc.",NASDAQ,True,7.60,841
SYNL,"Synalloy Corp.",NASDAQ,True,15.61,130
QRE,"Qr Energy Lp",NYSE,False,16.69,121
INTX,"Intersections",NASDAQ,False,9.81,763
CSCD,"Cascade Microtech",NASDAQ,False,7.61,834
NQ,"Netqin Mobile Inc.",NYSE,True,17.70,821
JCOM,"J2 Global Communications Inc",NASDAQ,True,50.88,852
TMK,"Torchmark Corp.",NYSE,True,70.41,430
HCBK,"Hudson City Bancorp",NASDAQ,True,9.50,419
HSNI,"Hsn",NASDAQ,False,57.56,745
RPXC,"Rpx Corporation",NASDAQ,True,15.84,760
BBBY,"Bed Bath & Beyond Inc.",NASDAQ,True,73.76,737
NRGM,"Inergy Midstream L.P.",NYSE,False,23.44,125
HW,"Headwaters Inc.",NYSE,True,8.97,634
DIN,"Dineequity Inc",NYSE,True,68.31,712
VLY,"Valley National Bancorp",NYSE,True,10.51,411
CUNB,"California United Bk",NASDAQ,False,17.50,416
PIM,"Putnam Master Intermediate Income",NYSE,True,5.00,425
ORM,"Owens Realty Mortgage Inc. Com",AMEX,False,11.05,441
LOJN,"Lojack Corp.",NASDAQ,True,3.10,765
GTU,"Central Gold Trust",AMEX,False,48.67,134
ADP,"Automatic Data Processing",NASDAQ,True,71.61,826
GIGA,"Giga-Tronics Inc.",NASDAQ,False,1.40,837
CHLN,"China Housing & Land Development",NASDAQ,True,2.35,449
STP,"Suntech Power Holdings Co.",NYSE,True,1.08,836
HCI,"Homeowners Choice",NYSE,False,33.23,432
AVT,"Avnet",NYSE,True,38.57,753
TD,"Toronto Dominion Bank",NYSE,True,84.20,410
NCP,"Nuveen California Performance Plus Fund",NYSE,True,12.76,425
ACAS,"American Capital",NASDAQ,True,12.90,422
ARTX,"Arotech Corp.",NASDAQ,True,2.10,627
WABC,"Westamerica Bancorporation",NASDAQ,True,49.25,416
WFC,"Wells Fargo & Company",NYSE,True,42.99,410
AGEN,"Agenus Inc.",NASDAQ,True,3.42,515
TCBI,"Texas Capital Bancshares",NASDAQ,True,44.65,415
QEP,"Qep Resources",NYSE,False,28.98,125
UVE,"Universal Insurance Holdings Inc",AMEX,True,8.33,432
CVC,"Cablevision Systems Corp.",NYSE,True,18.63,725
EGOV,"Nic Inc.",NASDAQ,True,23.12,821
ENB,"Enbridge Inc",NYSE,True,42.05,125
EA,"Electronic Arts Inc.",NASDAQ,True,26.48,820
WDC,"Western Digital Corp.",NASDAQ,True,66.02,813
GST,"Gastar Exploration",AMEX,True,3.09,121
EDU,"New Oriental Education & Technology Group",NYSE,True,22.45,766
CLVS,"Clovis Oncology Inc.",NASDAQ,False,67.91,515
XOM,"Exxon Mobil Corp.",NYSE,True,88.16,120
AVD,"American Vanguard Corp.",NYSE,True,25.52,112
SEIC,"Sei Investments Company",NASDAQ,True,31.41,422
AIMC,"Altra Holdings",NASDAQ,False,24.79,627
GVP,"Gse Systems",AMEX,True,1.49,826
BLH,"Blackrock New York Muni 2018 Trust",NYSE,True,15.15,425
ARII,"American Railcar Industries",NASDAQ,False,35.26,776
GDV,"Gabelli Dividend",NYSE,True,19.87,426
SBNY,"Signature Bank",NASDAQ,False,89.74,411
NATI,"National Instruments Corp.",NASDAQ,True,27.95,822
PXD,"Pioneer Natural Resources Company",NYSE,True,169.15,121
HERO,"Hercules Offshore",NASDAQ,True,6.93,123
BRKS,"Brooks Automation",NASDAQ,True,8.97,834
BHB,"Bar Harbor Bankshares",AMEX,True,36.65,411
SXCP,"Suncoke Energy Partners L.P.",NYSE,False,23.60,136
PNG,"Paa Natural Gas Storage L.P.",NYSE,True,20.85,912
RGR,"Sturm Ruger & Company",NYSE,True,53.15,611
SONS,"Sonus Networks",NASDAQ,True,3.33,841
RWT,"Redwood Trust",NYSE,True,17.50,440
UPL,"Ultra Petroleum",NYSE,True,21.73,121
LWAY,"Lifeway Foods",NASDAQ,True,17.00,344
NTZ,"Natuzzi S.P.A.",NYSE,True,2.07,311
OB,"Onebeacon Insurance Group",NYSE,False,14.50,433
ONP,"Orient Paper",AMEX,False,1.87,324
PLUS,"Eplus Inc.",NASDAQ,True,55.50,821
LCUT,"Lifetime Brands",NASDAQ,True,13.67,312
ALJ,"Alon USA Energy",NYSE,True,11.28,122
