now(),1376573400000,NASDAQ,HTHT,19.69,601
now(),1376573400000,NASDAQ,RNET,27.71,1025
now(),1376573400000,NYSE,ATI,27.87,10463
now(),1376573400000,NASDAQ,CLNE,12.83,10544
now(),1376573400000,NYSE,KSS,52.,100
now(),1376573400000,NASDAQ,TTWO,18.31,170
now(),1376573400000,NYSE,JDD,11.36,7837
now(),1376573400000,NYSE,DSX,11.,1322
now(),1376573400000,NASDAQ,CLDX,20.12,11972
now(),1376573400000,NASDAQ,MOCO,14.09,100
now(),1376573400000,NASDAQ,CKEC,17.51,495
now(),1376573400000,NYSE,COV,62.73,200
now(),1376573400000,NASDAQ,AMWD,33.,907
now(),1376573400000,NASDAQ,MSEX,21.02,333
now(),1376573400000,NASDAQ,CTRN,14.28,603
now(),1376573400000,NASDAQ,BOKF,66.1,669
now(),1376573400000,NASDAQ,SLRC,22.02,12190
now(),1376573400000,NYSE,BK,30.4,30988
now(),1376573400000,NASDAQ,CEMI,4.1,129
now(),1376573400000,NASDAQ,OXGN,2.55,407
now(),1376573400000,NASDAQ,CASY,67.,1415
now(),1376573400000,NASDAQ,MEOH,48.81,300
now(),1376573400000,NYSE,WBC,78.06,191
now(),1376573400000,NYSE,L,47.16,6936
now(),1376573400000,NASDAQ,PHMD,15.05,3166
now(),1376573400000,NASDAQ,FBNC,15.,100
now(),1376573400000,NASDAQ,NTRI,12.79,6455
now(),1376573400000,NASDAQ,CTCM,10.97,7692
now(),1376573400000,NYSE,CVT,31.03,604
now(),1376573400000,NYSE,TSM,15.935,100
now(),1376573400000,NASDAQ,MOBI,3.96,3386
now(),1376573400000,NYSE,KB,31.94,800
now(),1376573400000,NASDAQ,PLUS,56.79,227
now(),1376573400000,NASDAQ,MCRI,19.77,371
now(),1376573400000,NASDAQ,AMCC,11.82,4387
now(),1376573400000,NYSE,CCG,10.75,100
now(),1376573400000,NASDAQ,RGLD,57.25,8261
now(),1376573400000,NASDAQ,LMIA,13.16,1607
now(),1376573400000,NASDAQ,ISIG,2.38,700
now(),1376573400000,NASDAQ,PRKR,3.94,3952
now(),1376573400000,NASDAQ,MNTX,10.32,545
now(),1376573400000,NASDAQ,TITN,17.45,2248
now(),1376573400000,NYSE,LYV,17.21,4266
now(),1376573400000,NASDAQ,MATR,3.45,949
